80995.812500,24372.386719,51432.468750,12780.083984,32014.388672,37335.343750,85011.257812
53706.285156,68251.554688,8202.586914,106010.281250,40710.816406,33518.457031,81550.281250
37771.187500,89693.000000,10848.318359,52999.902344,63161.347656,111236.210938,25790.378906
60695.414062,96536.312500,64206.039062,90827.765625,11398.083008,37059.589844,26838.726562
97587.945312,40891.984375,35221.914062,55127.054688,65264.367188,86654.382812,67907.140625
97278.757812,533.028809,29461.699219,27528.341797,68784.585938,37664.289062,10081.919922
109495.406250,71182.742188,91632.195312,23809.890625,37419.035156,102480.515625,76809.796875
100580.382812,90260.031250,102600.171875,37819.097656,63339.640625,43349.515625,5190.166504
74737.718750,80409.101562,32028.892578,48868.964844,121301.085938,67250.812500,103996.015625
63108.753906,30448.494141,48446.460938,36930.816406,30981.523438,77908.156250,64459.152344
99766.109375,115572.445312,74541.070312,85804.820312,63298.488281,42716.574219,109614.710938
100717.523438,21740.394531,62967.800781,77841.203125,112000.421875,42111.273438,115660.304688
51883.355469,85460.789062,120850.468750,3164.375732,42413.191406,29422.666016,52033.339844
