51096.828125,113500.468750,120997.562500,95633.242188,80011.875000,26947.884766,102159.742188,80883.359375
16562.207031,19986.406250,4250.986816,16080.602539,83058.062500,52190.828125,30522.033203,117023.945312
9891.847656,93875.117188,62850.109375,106771.890625,84192.445312,108063.421875,8532.575195,44649.468750
115726.101562,120193.718750,118309.710938,96540.960938,43036.925781,70391.257812,113017.843750,94133.750000
60435.027344,110558.710938,66310.296875,16990.201172,14049.893555,45013.339844,97873.554688,30612.101562
64999.746094,102124.539062,46692.703125,24601.107422,30858.667969,77214.734375,18168.353516,40750.519531
47633.152344,81018.460938,24065.712891,8368.906250,65625.179688,32598.287109,53018.378906,57894.585938
29335.304688,47871.386719,30978.843750,72372.234375,118262.648438,20539.992188,43049.281250,55240.972656
7642.001953,109359.578125,72231.171875,21691.894531,30916.214844,46648.027344,52303.996094,95915.960938
25315.869141,98996.703125,120517.070312,56174.535156,52754.738281,15228.717773,96925.054688,100387.890625
96247.179688,120990.765625,108756.796875,38415.664062,30132.353516,38318.472656,96310.250000,59467.656250
